@relation Titanic_test_processed_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted Survived' {0,1}
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute AgeGroup {NK,Adult,Child,Youth,Baby,Senior}
@attribute Siblings {None,Few,Many}
@attribute EqualFreq {1,2,3,4,5}
@attribute Embarked {S,C,Q}

@data
0.622184,0,?,1,male,Adult,?,1,S
0.622184,0,?,1,male,NK,?,1,S
0.622184,0,?,3,male,Senior,?,1,S
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,Child,?,1,S
0.6,0,?,3,female,NK,?,1,Q
0.6,0,?,3,female,NK,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,Child,?,1,S
0.622184,0,?,3,male,Child,?,1,C
0.6,0,?,3,female,NK,?,1,C
0.622184,0,?,3,male,Child,?,1,C
0.622184,0,?,3,male,NK,?,1,C
0.622184,0,?,3,male,NK,?,1,C
0.622184,0,?,3,male,Child,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,Child,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
-0.5,1,?,3,female,Child,?,1,C
0.622184,0,?,3,male,Child,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.622184,0,?,3,male,NK,?,1,C
0.622184,0,?,3,male,NK,?,1,C
0.622184,0,?,3,male,Adult,?,1,C
0.6,0,?,3,female,NK,?,1,C
0.622184,0,?,3,male,NK,?,1,S
0.622184,0,?,3,male,NK,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,NK,?,1,S
0.622184,0,?,3,male,Child,?,1,Q
-0.5,1,?,3,female,Child,?,1,Q
0.622184,0,?,3,male,Child,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,Adult,?,1,S
0.622184,0,?,3,male,NK,?,1,S
0.6,0,?,3,female,NK,?,1,Q
0.622184,0,?,3,male,NK,?,1,S
-0.5,1,?,3,female,Child,?,1,S
-0.529412,1,?,3,female,Adult,?,1,Q
-0.5,1,?,3,female,Child,?,1,Q
-0.529412,1,?,3,female,Adult,?,1,Q
