Class,Alcohol,Malic Acid,Ash,Alcalinity of Ash,Magnesium,Total Phenols,Flavanoids,Nonflavanoid Phenols,Proanthocyanins,Color Intensity,Hue,OD280/OD315 of Diluted Wines,Proline,,Euclidian Distance,,Sorted,Class,Determined,Instance to Classify,,,,,,,,,,,,
1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,,615.303690546384,,0,,1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680
1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,,630.090774730118,,133.222155815015,1,,,,,,,,,,,,,,
1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,,495.06667409552,,165.045975109967,1,,,,,,,,,,,,,,
1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,,200.067991192994,,170.062387963947,1,,,,,,,,,,,,,,
1,13.24,2.59,2.87,21,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,,945.075833623948,,200.067991192994,1,,,,,,,,,,,,,,
1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,,230.047518352187,,230.047518352187,1,,,,,,,,,,,,,,
1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,,390.208785651989,,305.093234110493,,,,,,,,,,,,,,,
1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,,385.243254321215,,360.517618432165,,,,,,,,,,,,,,,
1,14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,,635.11117089845,,370.027390607777,,,,,,,,,,,,,,,
1,13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,,635.081847638554,,385.243254321215,,,,,,,,,,,,,,,
1,14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,,170.062387963947,,390.208785651989,,,,,,,,,,,,,,,
1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5,1.17,2.82,1280,,400.232899572237,,395.005242876598,,,,,,,,,,,,,,,
1,13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,,360.517618432165,,395.120368368931,,,,,,,,,,,,,,,
1,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,,530.308647864619,,395.283295751288,,,,,,,,,,,,,,,
1,14.38,1.87,2.38,12,102,3.3,3.64,0.29,2.96,7.5,1.2,3,1547,,133.222155815015,,400.204471989007,,,,,,,,,,,,,,,
1,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,,370.027390607777,,400.232899572237,,,,,,,,,,,,,,,
1,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,,400.204471989007,,410.054899373242,,,,,,,,,,,,,,,
1,13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,,550.060279878488,,415.250949667788,,,,,,,,,,,,,,,
1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,,0,,420.001718567913,,,,,,,,,,,,,,,
