@relation Lab5_EmployeesSalaryOriginalOutlier-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.AddID-Cfirst-NID_predicted-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R18-19

@attribute ID numeric
@attribute Country=China numeric
@attribute Country=U.S.A. numeric
@attribute Country=Germany numeric
@attribute Country=Mexico numeric
@attribute Country=Japan numeric
@attribute Branch=1 numeric
@attribute Branch=2 numeric
@attribute Branch=3 numeric
@attribute Branch=4 numeric
@attribute Branch=6 numeric
@attribute Currency=CHY numeric
@attribute Currency=USD numeric
@attribute Currency=EUR numeric
@attribute Currency=MXD numeric
@attribute Currency=INR numeric
@attribute Salary numeric
@attribute Outlier {No,Yes}

@data
1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,120000,No
2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,49000,No
3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,160000,No
4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,16000,No
5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,39000,No
6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,45000,No
7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,19000,No
8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150000,No
9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,99000,No
10,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,36098,No
11,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,680000,Yes
12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,200000,No
13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,29000,No
14,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,150000,No
15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,66000,No
16,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,72000,No
17,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,90000,No
18,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,85000,No
19,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,780000,Yes
20,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,39000,No
21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,96300,No
