Survived,Pclass,Sex,AgeGroup,Relatives,EqualFreq,Embarked
0,3,male,Adult,None,1,S
0,1,male,Adult,None,1,S
1,3,male,Adult,None,1,S
0,2,male,NK,None,1,S
0,3,male,Youth,None,1,S
0,2,male,NK,None,1,S
0,2,male,NK,None,1,S
0,2,male,NK,None,1,S
0,3,male,Adult,None,1,S
0,1,male,NK,None,1,S
0,2,male,NK,None,1,S
0,2,male,NK,None,1,S
0,1,male,Adult,None,1,S
0,1,male,NK,None,1,S
0,1,male,Adult,None,1,S
0,3,male,Youth,None,1,C
0,1,male,Adult,None,1,S
0,3,male,Senior,None,1,S
0,3,male,Adult,None,1,C
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,Few,1,S
0,3,male,Youth,None,1,Q
0,3,female,Youth,None,1,Q
0,3,male,NK,None,1,Q
0,3,male,NK,None,1,Q
0,3,male,Adult,None,1,S
1,3,male,Adult,None,1,S
0,3,male,Adult,Few,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,male,NK,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,Few,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
1,3,male,Youth,None,1,S
1,3,female,NK,None,1,C
0,3,male,NK,None,1,C
0,3,male,Adult,None,1,C
0,3,male,Adult,None,1,C
0,3,male,NK,None,1,C
0,3,male,NK,None,1,C
1,3,male,Youth,None,1,C
0,3,male,NK,None,1,C
0,3,male,Adult,None,1,C
0,3,male,Adult,None,1,C
0,3,male,NK,None,1,C
1,3,female,Youth,None,1,C
1,3,male,NK,None,1,C
0,3,male,Adult,None,1,C
0,3,male,Youth,None,1,C
0,3,male,Youth,None,1,C
0,3,male,Youth,Few,1,C
1,3,female,NK,None,1,C
0,3,male,NK,None,1,C
0,3,male,NK,None,1,C
0,3,male,Youth,Few,1,C
0,3,male,NK,None,1,C
1,3,male,Youth,None,1,C
1,3,female,Youth,None,1,C
0,3,male,Adult,None,1,C
0,3,male,NK,None,1,C
0,3,male,NK,None,1,C
0,3,male,Youth,Few,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,NK,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
1,3,female,Youth,None,1,S
0,3,male,NK,None,1,S
0,3,male,NK,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,male,NK,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
1,3,female,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,female,NK,None,1,S
0,3,male,NK,None,1,S
1,3,female,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,female,NK,None,1,Q
0,3,male,Adult,None,1,S
1,3,female,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,NK,None,1,Q
0,3,male,NK,None,1,Q
1,3,female,Youth,None,1,Q
0,3,male,Youth,None,1,Q
0,3,male,NK,None,1,Q
1,3,female,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,male,NK,None,1,Q
0,3,male,Adult,None,1,Q
1,3,female,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,male,Senior,None,1,Q
0,3,male,NK,None,1,Q
1,3,female,Youth,None,1,S
0,3,male,NK,None,1,Q
1,3,female,NK,None,1,Q
1,3,female,Youth,None,1,Q
0,3,male,NK,Few,1,Q
0,3,male,NK,None,1,Q
0,3,female,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,female,Adult,None,1,S
0,3,male,Senior,None,1,Q
1,3,female,Youth,None,1,Q
1,3,female,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,male,Adult,None,1,S
0,3,male,NK,None,1,Q
0,3,male,NK,None,1,Q
0,3,female,Youth,None,1,Q
1,3,male,Adult,None,1,Q
0,3,male,Adult,None,1,Q
0,3,male,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,female,NK,Few,1,Q
0,3,male,NK,None,1,Q
0,3,male,Adult,None,1,Q
0,3,female,Adult,None,1,Q
0,3,male,Youth,None,1,S
0,3,male,NK,None,1,Q
0,3,male,NK,None,1,Q
1,3,male,NK,None,1,Q
0,3,male,Adult,None,1,Q
1,3,male,NK,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Adult,None,1,S
0,3,female,Adult,None,1,S
1,3,male,Adult,Few,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,Few,1,S
1,3,female,Youth,None,1,S
0,3,male,NK,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,female,Youth,None,1,S
0,3,male,Senior,None,1,S
1,3,female,NK,None,1,Q
1,3,male,Adult,None,1,S
1,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,NK,None,1,Q
1,3,female,NK,None,1,Q
0,3,female,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,Few,1,S
1,3,female,Youth,Few,1,S
0,3,male,Adult,None,1,S
1,3,female,Adult,None,1,S
0,3,female,Adult,None,1,S
1,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,Few,1,S
0,3,male,Adult,None,1,S
0,3,male,Youth,None,1,S
0,3,male,Adult,None,2,S
1,3,female,NK,None,2,Q
1,3,female,Youth,None,2,Q
1,3,female,NK,None,2,Q
1,3,female,NK,None,2,Q
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,C
0,3,male,NK,None,2,S
0,3,female,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,C
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,C
1,3,male,Adult,None,2,C
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,C
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
1,3,female,Adult,None,2,S
1,3,female,Youth,Many,2,S
0,3,male,Adult,Few,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
1,3,female,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,Few,2,S
1,3,male,Adult,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
1,3,male,Youth,Few,2,S
0,3,female,Adult,Few,2,S
1,3,male,Adult,None,2,S
0,3,female,Youth,None,2,S
0,3,male,Youth,None,2,S
1,3,female,Youth,None,2,Q
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
1,3,male,Youth,None,2,S
1,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
1,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,female,NK,None,2,S
1,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,NK,None,2,S
0,3,female,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,NK,None,2,S
1,3,male,NK,None,2,S
0,3,female,NK,None,2,Q
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Adult,Few,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,Q
1,3,male,Baby,Few,2,C
0,3,male,Adult,None,2,S
0,3,male,Adult,Few,2,S
0,3,male,NK,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,C
0,3,male,Adult,None,2,S
0,3,female,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,female,Adult,None,2,S
0,3,male,Youth,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
1,3,female,Adult,None,2,S
0,3,male,NK,None,2,C
0,3,female,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
1,3,female,Youth,Few,2,S
0,3,female,Adult,Few,2,S
0,3,male,Adult,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
1,3,male,Adult,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Adult,None,2,S
0,3,male,Youth,None,2,S
0,3,male,NK,None,2,S
1,3,female,Senior,None,2,S
0,3,female,Adult,None,2,S
0,3,female,Youth,Few,2,S
0,3,female,Youth,Few,2,S
0,3,female,Youth,None,2,S
1,3,female,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,male,Youth,None,2,S
0,3,female,Child,Few,2,S
0,3,female,Adult,Few,2,S
0,2,male,Senior,None,2,S
1,2,female,Youth,None,2,S
1,2,female,Adult,None,2,S
0,2,male,Adult,None,2,S
1,2,female,Youth,None,2,S
0,2,male,Adult,None,2,S
1,2,male,Youth,None,2,S
0,2,male,Youth,None,2,S
0,2,male,Youth,None,2,S
0,2,male,Adult,None,2,S
0,2,male,Adult,None,2,S
0,2,male,Youth,None,2,S
0,2,male,Adult,None,2,S
1,2,female,Adult,None,2,S
1,2,female,Adult,None,2,S
1,2,female,Adult,None,2,S
1,2,male,Senior,None,2,S
0,2,male,Adult,None,2,S
0,2,male,Senior,None,2,S
1,2,female,Adult,None,2,S
0,2,female,Adult,None,2,S
0,2,male,Adult,None,2,S
0,2,male,Youth,None,2,S
0,2,male,Adult,None,2,S
0,3,female,Youth,None,3,S
1,3,female,Adult,Few,3,S
1,3,female,Baby,Few,3,S
1,3,male,Child,Few,3,S
1,3,female,Youth,Few,3,C
1,3,male,Youth,Few,3,C
0,2,male,Youth,None,3,S
0,2,male,Youth,Many,3,S
0,2,male,Youth,None,3,S
0,2,male,Youth,Few,3,S
1,2,female,Youth,None,3,C
0,2,male,Adult,None,3,S
1,3,female,Child,Few,3,S
1,2,female,NK,None,3,Q
1,2,female,Adult,None,3,Q
0,2,male,Adult,None,3,Q
1,3,female,Adult,None,3,S
1,3,male,Child,Few,3,S
1,3,female,Child,None,3,S
1,3,female,Adult,Few,3,S
0,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,C
1,2,male,NK,None,3,S
1,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Youth,None,3,S
0,2,female,Youth,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Youth,None,3,S
1,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
1,2,female,Youth,None,3,S
1,2,female,Adult,None,3,S
0,2,female,Adult,None,3,S
1,2,female,Adult,None,3,S
1,2,female,Youth,Few,3,S
0,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Youth,None,3,S
0,2,male,Adult,None,3,S
1,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Youth,None,3,S
0,2,male,Youth,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Youth,None,3,S
1,2,female,Adult,None,3,S
0,2,male,Adult,None,3,S
1,3,female,Child,Few,3,C
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Adult,None,3,S
1,2,female,Adult,None,3,S
1,2,female,Youth,None,3,C
1,2,female,Adult,Few,3,C
1,2,male,NK,None,3,C
0,2,male,Adult,None,3,S
0,3,male,Adult,Few,3,S
0,3,female,Adult,Few,3,S
0,3,male,Adult,Few,3,S
0,3,male,Adult,Few,3,C
0,3,female,Youth,Few,3,C
0,3,female,NK,Few,3,C
0,3,female,Adult,Few,3,C
0,3,male,Adult,Few,3,C
0,3,female,Youth,Few,3,C
1,3,female,Youth,Few,3,C
0,3,female,Youth,None,3,C
0,3,male,NK,None,3,C
0,3,female,NK,Few,3,C
0,3,female,Adult,Few,3,S
0,3,male,Adult,Few,3,S
1,2,female,Youth,Few,3,S
0,3,male,NK,None,3,S
0,3,male,Youth,None,3,S
1,2,male,Baby,Few,3,S
0,3,male,NK,None,3,S
0,2,male,Adult,None,3,S
0,2,male,Youth,None,3,C
0,2,male,NK,None,3,C
0,3,male,NK,None,3,S
1,3,male,NK,Few,3,C
0,3,female,NK,Few,3,C
1,3,female,Adult,Few,3,C
1,3,male,NK,Few,3,C
0,3,female,Child,Few,3,C
0,3,male,NK,Few,3,Q
1,3,female,NK,Few,3,Q
0,3,male,Adult,Few,3,Q
1,3,female,NK,Few,3,Q
0,3,male,NK,Few,3,Q
1,3,female,NK,Few,3,Q
0,3,female,Adult,Few,3,Q
0,3,male,NK,None,3,Q
0,3,male,Adult,Few,3,S
1,3,female,Baby,Few,3,C
1,3,male,Youth,Few,3,C
1,2,female,Adult,None,3,S
1,3,female,Adult,Many,3,S
1,3,female,Youth,Few,3,S
0,3,male,Adult,Few,3,S
0,3,male,Adult,Few,3,S
1,3,male,Child,Few,3,S
1,3,male,Child,Few,3,S
1,2,female,Adult,None,3,S
0,3,male,Adult,Few,3,S
0,3,male,Adult,Few,3,S
1,3,female,NK,Few,3,S
1,3,female,NK,Few,3,S
0,3,female,Adult,Few,3,S
0,3,male,Youth,None,3,S
0,3,male,NK,Few,3,S
0,3,male,Adult,None,3,S
0,3,male,Youth,Few,3,S
1,3,female,Child,Few,3,S
1,3,female,Youth,Few,3,S
1,3,female,Adult,Few,3,S
0,3,female,Youth,Few,3,S
0,3,male,Adult,Few,3,S
0,3,female,Adult,Few,3,S
0,3,female,Youth,Few,3,S
0,3,male,Youth,Few,3,S
1,2,male,Child,Few,3,S
1,2,female,Youth,Many,3,S
1,2,male,Baby,Few,3,S
1,3,male,Adult,None,3,C
0,3,male,Child,None,3,C
1,3,female,Child,Many,3,C
1,3,female,Baby,Many,3,C
1,3,female,Baby,Many,3,C
1,3,female,Youth,Many,3,C
