% 1. Title: Boston Housing Data
% 
% 2. Sources:
%    (a) Origin:  This dataset was taken from the StatLib library which is
%                 maintained at Carnegie Mellon University.
%    (b) Creator:  Harrison, D. and Rubinfeld, D.L. 'Hedonic prices and the 
%                  demand for clean air', J. Environ. Economics & Management,
%                  vol.5, 81-102, 1978.
%    (c) Date: July 7, 1993
% 
% 3. Past Usage:
%    -   Used in Belsley, Kuh & Welsch, 'Regression diagnostics ...', Wiley, 
%        1980.   N.B. Various transformations are used in the table on
%        pages 244-261.
%     -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
%        In Proceedings on the Tenth International Conference of Machine 
%        Learning, 236-243, University of Massachusetts, Amherst. Morgan
%        Kaufmann.
% 
% 4. Relevant Information:
% 
%    Concerns housing values in suburbs of Boston.
% 
% 5. Number of Instances: 513
% 
% 6. Number of Attributes: 13 continuous attributes (including "class"
%                          attribute "MEDV"), 1 binary-valued attribute.
% 
% 7. Attribute Information:
% 
%     1. CRIM      per capita crime rate by town
%     2. ZN        proportion of residential land zoned for lots over 
%                  25,000 sq.ft.
%     3. INDUS     proportion of non-retail business acres per town
%     4. CHAS      Charles River dummy variable (= 1 if tract bounds 
%                  river; 0 otherwise)
%     5. NOX       nitric oxides concentration (parts per 10 million)
%     6. RM        average number of rooms per dwelling
%     7. AGE       proportion of owner-occupied units built prior to 1940
%     8. DIS       weighted distances to five Boston employment centres
%     9. RAD       index of accessibility to radial highways
%     10. TAX      full-value property-tax rate per $10,000
%     11. PTRATIO  pupil-teacher ratio by town
%     12. B        1000(Bk - 0.63)^2 where Bk is the proportion of blacks 
%                  by town
%     13. LSTAT    % lower status of the population
%     14. MEDV     Median value of owner-occupied homes in $1000's
% 
% 8. Missing Attribute Values:  None.
% 

@relation 'housing'
@attribute CRIM real
@attribute ZN real
@attribute INDUS real
@attribute CHAS { 0, 1}
@attribute NOX real
@attribute RM real
@attribute AGE real
@attribute DIS real
@attribute RAD real
@attribute TAX real
@attribute PTRATIO real
@attribute B real
@attribute LSTAT real
@attribute class real
@data
0.00632,18,3.81,0,0.538,9.075,65.2,4.09,1,296,15.3,396.9,4.98,24
0.11731,0,8.67,0,0.469,8.621,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.02729,0,8.57,0,0.469,9.285,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
0.10237,0,3.48,0,0.458,9.598,45.8,6.0622,3,222,18.7,394.63,2.94,33.4
0.09905,0,3.48,0,0.458,9.247,54.2,6.0622,3,222,18.7,396.9,5.33,36.2
0.08985,0,3.58,0,0.458,8.73,58.7,6.0622,3,222,18.7,394.12,5.21,28.7
0.08829,12.5,9.67,0,0.524,8.912,66.6,5.5605,5,311,15.2,395.6,12.43,22.9
0.18455,12.5,9.07,0,0.524,8.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1
0.27124,12.5,9.87,0,0.524,8.231,100,6.0821,5,311,15.2,386.63,29.93,16.5
0.18004,12.5,9.57,0,0.524,8.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9
0.29489,12.5,9.27,0,0.524,8.577,94.3,6.3467,5,311,15.2,392.52,20.45,15
0.20747,12.5,9.57,0,0.524,8.509,82.9,6.2267,5,311,15.2,396.9,13.27,18.9
0.18378,12.5,9.77,0,0.524,8.189,39,5.4509,5,311,15.2,390.5,15.71,21.7
0.65976,0,9.44,0,0.524,8.549,61.8,4.7075,4,307,21,396.9,8.26,20.4
0.69796,0,9.24,0,0.524,8.896,84.5,4.4619,4,307,21,380.02,10.26,18.2
0.67739,0,9.34,0,0.524,8.034,56.5,4.4986,4,307,21,395.62,8.47,19.9
1.05393,0,9.74,0,0.524,8.635,29.3,4.4986,4,307,21,386.85,6.58,23.1
0.8642,0,9.34,0,0.524,8.89,81.7,4.2579,4,307,21,386.75,14.67,17.5
0.86271,0,9.54,0,0.524,7.756,36.6,3.7965,4,307,21,288.99,11.69,20.2
0.7358,0,9.94,0,0.524,7.927,69.5,3.7965,4,307,21,390.95,11.28,18.2
